Disaster ID,Dates of occurrence (mm/dd/yyyy),Months,Municipalities,Coastal Sectors,EM or SPC,hgt,Wspd (m/s),Wdir (m/s),Hs (m),Hsdir (°),HsPp (s),WP,Number of Human Damage,Material Damage (BRL),Environmental Damage (BRL),Public Economic Losses (BRL),Private Economic Losses (BRL)
1,1998-02-15 00:00:00,February,São Francisco do Sul,North,EM,1686.33984375,8.946692126143606,287.7666296386139,1.2412499,97.26875,7.0475006,5,36,30000,5020000,2520000,8500000
2,1998-09-19 00:00:00,September,Balneário Piçarras,Central-north,EM,1425.38671875,12.416448767663,343.5792102665478,1.92375,133.11375,9.85,1,0,0,0,0,0
3,2000-08-10 00:00:00,August,Itapoá,North,*,1497.98046875,9.032236710804252,338.0925745952425,0.9625,154.54874,6.5412498,3,800,53500,0,0,500000
4,2001-05-05 00:00:00,May,Balneário Camboriú,Central-north,EM,1109.265625,5.98680215139936,52.19216636739588,1.3050001,195.13501,8.106251,3,29,132000,313600,100400,0
4,2001-05-05 00:00:00,May,Itapoá,North,EM,1109.640625,8.069820320180618,49.32169494503557,0.89875,192.15125,9.36625,3,21,517440,200000,393000,0
5,2001-05-06 00:00:00,May,Bombinhas,Central-north,EM,1195.5078125,11.19368125327857,44.67425365782464,3.6325002,168.48625,12.906249,3,0,277000,600000,149000,160000
5,2001-05-06 00:00:00,May,Navegantes,Central-north,SPC,1233.0078125,7.234638899074369,77.38529163629937,2.5375,161.28,13.03,3,1400,1188000,50000,44000,0
5,2001-05-06 00:00:00,May,Balneário Barra do Sul,North,EM,1259.7578125,11.29511841460726,72.80030501876809,2.1275,163.20499,13.112499,3,52,225000,170000,2500,65000
5,2001-05-06 00:00:00,May,Barra Velha,North,SPC,1246.1328125,10.10028217427612,77.47734518810933,2.52875,162.6875,12.997499,3,*,*,*,*,*
6,2001-05-22 00:00:00,May,Barra Velha,North,SPC,1164.112060546875,7.308139298070337,200.8405030305349,1.7075001,98.871254,12.58125,4,68,153000,0,45200,6000
7,2002-09-21 00:00:00,September,Balneário Camboriú,Central-north,EM,1377.30859375,11.79897029405532,357.7656745368607,1.875,114.192505,10.56625,4,0,356500,0,0,0
8,2004-03-27 00:00:00,March,Içara/Balneário Rincão,South,EM,1211.171875,6.362530942950297,18.60581048198031,2.2962499,128.96625,9.62,4,52334,1507100,0,0,2556800
9,2004-03-28 00:00:00,March,Florianópolis,Central,*,930.370361328125,3.07688153818115,105.843082117687,1.4775001,125.38251,8.64125,4,*,*,*,*,*
9,2004-03-28 00:00:00,March,Araranguá,South,SPC,934.870361328125,11.56522373324442,41.21388796461844,1.9775001,112.66875,8.18375,4,1551,14060000,50000,906000,9477000
9,2004-03-28 00:00:00,March,Balneário Arroio do Silva,South,SPC,934.870361328125,11.56522373324442,41.21388796461844,1.9775001,112.66875,8.18375,4,550,1687000,10000,286600,220000
9,2004-03-28 00:00:00,March,Balneário Gaivota,South,SPC,924.620361328125,12.06492851201365,19.11075236432953,2.10375,110.88124,8.5975,4,1070,10385900,450000,687456,11726600
9,2004-03-28 00:00:00,March,Passo de Torres,South,SPC,977.745361328125,11.00234520454616,24.1422647322886,2.2450001,106.131256,8.48125,4,2130,2185000,0,0,0
10,2005-08-08 00:00:00,August,Itajaí,Central-north,EM,2042.60546875,11.43787130544841,355.3361983816264,1.5662501,160.83125,6.2437496,1,67,1778500,0,0,0
11,2005-08-09 00:00:00,August,Palhoça,Central,EM,2110.7578125,12.65911924266455,29.48102840638757,2.97,157.12498,8.64375,1,10,1025300,0,0,0
11,2005-08-09 00:00:00,August,Bombinhas,Central-north,EM,2070.7578125,15.74870788350587,15.58058688362956,2.92,161.205,8.53875,1,6313,529600,15000,166000,708000
