grid_lat,grid_lon,n_compound_events_days,A_absolute_total_level_m,B_excess_over_local_datum_m,C_dimensionless_tidal_phase,D_surge_anomaly_only_m,latitude_band,abs_lat
-35.0,-54.8,554,1.3156775974315535,1.0426919185203445,0.044191106513681785,0.4816695035260311,RS,35.0
-35.0,-54.6,531,1.3419503316928665,1.0284093604137219,0.04180765512190219,0.43499588338718914,RS,35.0
-35.0,-54.4,513,1.3483783228907436,1.001351062825665,0.04370299892142782,0.3841736238215889,RS,35.0
-35.0,-54.2,497,1.3438229557104273,0.9721049960680171,0.03795664465390423,0.3461588409387072,RS,35.0
-35.0,-54.0,498,1.3353595906023281,0.9454250448469418,0.037513025009510786,0.31279937940330516,RS,35.0
-34.8,-54.4,514,1.3831516283756333,1.0427536624675828,0.04422309671044863,0.49217382017169486,RS,34.8
-34.8,-54.2,510,1.410735674520918,1.042332937141844,0.04505918885925764,0.4449394783199494,RS,34.8
-34.8,-54.0,497,1.4027656000804611,1.011962519283266,0.04062380622398585,0.3885754613901624,RS,34.8
-34.8,-53.8,486,1.3807385795952851,0.9735703044774111,0.039288522705625335,0.3373336733905287,RS,34.8
-34.8,-53.6,471,1.3624236910396323,0.9481024293952687,0.037160410461529375,0.2945600742730548,RS,34.8
-34.6,-54.0,465,1.4296815712477573,1.0309155423666843,0.03958250675190149,0.4802259896395456,RS,34.6
-34.6,-53.8,478,1.4296586510963023,1.0128302154368936,0.03813527776005268,0.4304089011998352,RS,34.6
-34.6,-53.6,489,1.4247713247660725,0.9964132825259295,0.03685584883876158,0.3738555724487792,RS,34.6
-34.6,-53.4,479,1.3923289960230816,0.9647492235506999,0.038087160739647984,0.3160920361361191,RS,34.6
-34.4,-53.8,471,1.2855991751778149,0.8452604741680647,0.03490880309690028,0.48882031822777045,RS,34.4
-34.4,-53.6,452,1.4090823344853338,0.9520603947308475,0.03767170981629828,0.4468137030445425,RS,34.4
-34.4,-53.4,469,1.4374863452875792,0.9806156702006043,0.03953898210928299,0.3859803824872034,RS,34.4
-34.2,-53.6,372,1.3938824612046443,0.8982919472600183,0.040347784246469974,0.4809616078276093,RS,34.2
-34.2,-53.4,442,1.4715715256717679,0.9767899421241758,0.04072361439124283,0.43716616595753327,RS,34.2
-34.2,-53.2,459,1.4639138858270284,0.9865843217324848,0.04331294034659633,0.3816794942193923,RS,34.2
-34.0,-53.4,399,1.4615256065899564,0.9266996378475861,0.04159107760543214,0.47094656133714896,RS,34.0
-34.0,-53.2,442,1.483186242668742,0.9661281205106914,0.04765823005625287,0.42768638865137315,RS,34.0
-34.0,-53.0,472,1.4806436362029134,0.9927869977713641,0.04930440776808984,0.3814092399731926,RS,34.0
-33.8,-53.4,372,1.3908264384955487,0.8208423004836166,0.03835404037928288,0.49698523624096586,RS,33.8
-33.8,-53.2,433,1.4648843656235973,0.9100389371568005,0.04256728278871718,0.470073384276577,RS,33.8
-33.8,-53.0,477,1.4926351736770236,0.9655669044242466,0.04461890130019598,0.4283003635822337,RS,33.8
-33.8,-52.8,497,1.4910824255684252,0.9950821118095752,0.049006589108613954,0.38727394820241884,RS,33.8
-33.6,-53.0,468,1.3460016218165305,0.786497184369936,0.04106055874117737,0.4724664847774287,RS,33.6
-33.6,-52.8,474,1.4541558103187928,0.9239956097229373,0.048811062263158345,0.438326936491539,RS,33.6
-33.6,-52.6,486,1.475801306288429,0.9831139021326976,0.05151960777771713,0.39581794699762124,RS,33.6
-33.4,-52.8,460,1.414947847655934,0.8612836640392956,0.046322706844899676,0.4830420577544592,RS,33.4
-33.4,-52.6,473,1.432406058318393,0.912300851351993,0.05116140756076853,0.43979701106701286,RS,33.4
-33.4,-52.4,470,1.421721297943212,0.9472897116776477,0.052936171632984294,0.38027974634578315,RS,33.4
-33.2,-52.6,404,1.3781707336628202,0.8416135241710904,0.04733784232580548,0.48082967236355606,RS,33.2
-33.2,-52.4,422,1.4024886247812287,0.9060930845438021,0.05928630085340506,0.4244481307737073,RS,33.2
-33.2,-52.2,437,1.3901917995386321,0.9412345112734039,0.053012168772029813,0.35794277313005024,RS,33.2
-33.0,-52.4,338,1.325078258010939,0.8153347582550796,0.05678357594226583,0.45307907472682674,RS,33.0
-33.0,-52.2,386,1.3849367994178146,0.9160941499579758,0.05637843107816855,0.3935398726704388,RS,33.0
-32.8,-52.4,284,1.329868102503914,0.8123159293662496,0.046420793633690643,0.4766191591467213,RS,32.8
-32.8,-52.2,332,1.3428969640733608,0.8590707321168787,0.05552412155132414,0.42515602681229064,RS,32.8
-32.8,-52.0,386,1.375020109093869,0.9323841199047207,0.05493131958093518,0.37333062108088877,RS,32.8
-32.6,-52.2,273,1.3167392256659467,0.8264433088702161,0.04013825614851859,0.43906289090153616,RS,32.6
-32.6,-52.0,358,1.3759079527650964,0.9240814876352443,0.05581485464880981,0.39389044618455665,RS,32.6
-32.4,-52.2,257,1.3104134429869485,0.823328774112208,0.05825155081267904,0.461805500309943,RS,32.4
-32.4,-52.0,329,1.3299675501056447,0.8772230780788196,0.05788757602078942,0.42705272806597055,RS,32.4
-32.4,-51.8,392,1.3570012233220041,0.9419547400437296,0.05795237930261019,0.39346981184643637,RS,32.4
-32.2,-52.0,355,1.3105693646268526,0.8675050385789553,0.05676519602112402,0.46455188267874825,RS,32.2
-32.2,-51.8,395,1.3053880078845388,0.897700141196764,0.06001968403828057,0.43038916481064554,RS,32.2
