grid_lat,grid_lon,n_finite_days,hat_m,thr_hs_q50,thr_zos_q50,thr_hs_q55,thr_zos_q55,thr_hs_q60,thr_zos_q60,thr_hs_q65,thr_zos_q65,thr_hs_q70,thr_zos_q70,thr_hs_q75,thr_zos_q75,thr_hs_q80,thr_zos_q80,thr_hs_q85,thr_zos_q85,thr_hs_q90,thr_zos_q90,thr_hs_q95,thr_zos_q95,thr_hs_q99,thr_zos_q99
-35.0,-54.8,12053,0.340699,1.31,0.111514,1.37,0.13538,1.43,0.158964,1.51,0.182073,1.59,0.209625,1.68,0.241339,1.8,0.280403,1.96,0.330392,2.14,0.398495,2.49,0.515735,3.28,0.765303
-35.0,-54.6,12053,0.38758,1.43,0.107425,1.49,0.127848,1.57,0.14876,1.64,0.169671,1.73,0.193183,1.83,0.222724,1.956,0.256905,2.13,0.297569,2.34,0.359741,2.7,0.465128,3.5848,0.693086
-35.0,-54.4,12053,0.424577,1.53,0.102419,1.59,0.119485,1.67,0.138371,1.75,0.157657,1.85,0.180328,1.95,0.205511,2.08,0.233197,2.27,0.269661,2.498,0.321151,2.88,0.412779,3.84,0.613392
-35.0,-54.2,12053,0.457002,1.6,0.096378,1.67,0.113162,1.75,0.130559,1.84,0.148565,1.934,0.168401,2.04,0.190496,2.18,0.216475,2.36,0.24736,2.6,0.293137,3.01,0.373793,3.98,0.550924
-35.0,-54.0,12053,0.481176,1.65,0.094302,1.73,0.110477,1.81,0.125736,1.9,0.143437,2.0,0.161138,2.11,0.181585,2.25,0.204779,2.44,0.232246,2.67,0.27192,3.09,0.345592,4.09,0.503555
-34.8,-54.4,12053,0.414249,1.34,0.108414,1.4,0.131994,1.47,0.154389,1.54,0.179156,1.62,0.207408,1.72,0.23963,1.84,0.279624,2.0,0.331461,2.19,0.401081,2.52,0.520429,3.3448,0.775673
-34.8,-54.2,12053,0.45069,1.49,0.106485,1.56,0.126752,1.63,0.147402,1.71,0.168731,1.8,0.194286,1.91,0.222687,2.03,0.259862,2.2,0.301008,2.43,0.36329,2.79,0.470644,3.71,0.698369
-34.8,-54.0,12053,0.48048,1.59,0.103336,1.66,0.120365,1.74,0.138859,1.82,0.158562,1.92,0.181097,2.03,0.206427,2.16,0.236616,2.34,0.273019,2.58,0.324033,2.96,0.417798,3.94,0.617392
-34.8,-53.8,12053,0.502553,1.67,0.092924,1.75,0.10879,1.83,0.125043,1.91,0.142795,2.02,0.164125,2.13,0.185784,2.28,0.210975,2.46,0.24271,2.7,0.285091,3.1,0.366852,4.1048,0.539174
-34.8,-53.6,12053,0.513066,1.76,0.085513,1.84,0.099881,1.93,0.115099,2.02,0.130834,2.13,0.149387,2.25,0.168988,2.4,0.190206,2.59,0.217171,2.85,0.25258,3.27,0.320504,4.3048,0.467457
-34.6,-54.0,12053,0.487323,1.44,0.106204,1.51,0.128214,1.57,0.150957,1.65,0.174737,1.74,0.202179,1.84,0.23365,1.95,0.271835,2.1,0.318626,2.3,0.386609,2.61,0.501895,3.43,0.742606
-34.6,-53.8,12053,0.511101,1.54,0.104215,1.61,0.122568,1.68,0.143314,1.76,0.163434,1.86,0.189822,1.96,0.216363,2.09,0.250261,2.26,0.290133,2.47,0.349696,2.81,0.453411,3.72,0.67063
-34.6,-53.6,12053,0.526462,1.68,0.095169,1.76,0.112239,1.83,0.130486,1.92,0.14888,2.03,0.171129,2.14,0.195478,2.28,0.223636,2.46,0.259291,2.69,0.30852,3.08,0.398344,4.06,0.58685
-34.6,-53.4,12053,0.526763,1.78,0.087576,1.86,0.101932,1.94,0.118102,2.04,0.135323,2.14,0.153402,2.27,0.175286,2.41,0.198578,2.6,0.228548,2.85,0.268576,3.26,0.342526,4.2848,0.501774
-34.4,-53.8,12053,0.535219,1.02,0.106473,1.07,0.127472,1.11,0.152116,1.16,0.177908,1.22,0.205912,1.28,0.239532,1.36,0.278255,1.46,0.326779,1.59,0.399249,1.81,0.515743,2.4,0.755472
-34.4,-53.6,12053,0.557542,1.43,0.103335,1.5,0.123753,1.56,0.144294,1.63,0.16837,1.71,0.193932,1.8,0.221724,1.92,0.258188,2.06,0.299992,2.25,0.363076,2.54,0.47099,3.3048,0.684916
