removed_code,removed_name,removed_state,sd_pc1,mean_absolute_risk_shift,max_absolute_risk_shift,max_rank_shift
1502509,Chaves,PA,2.2247231474554736,0.0007027213761095482,0.0035596370035477776,3
4202008,Balneário Camboriú,SC,2.2307646410929496,0.0005054452579626652,0.0025950784744299127,2
2110278,Santo Amaro do Maranhão,MA,2.2310349950341406,0.0005035178112053623,0.002551997097936687,2
2105104,Icatu,MA,2.232345890098861,0.0004620964840111393,0.0023432033655468865,2
2109403,Primeira Cruz,MA,2.2326916045128007,0.0004512593514881616,0.0022881670004348265,2
2108058,Paulino Neves,MA,2.232847882941243,0.00044641593615755314,0.002263291865496675,2
2105005,Humberto de Campos,MA,2.234563532174985,0.0003924767248600564,0.001990363075411228,2
1508308,Viseu,PA,2.237032637200938,0.000315177628668128,0.0015980694562974795,2
2111789,Serrano do Maranhão,MA,2.237224171175721,0.0003090342363117914,0.0015676628345647758,2
2101707,Barreirinhas,MA,2.237310104890708,0.0003063829240794422,0.0015540217310991422,2
2112407,Turiaçu,MA,2.2375918529517187,0.0002974853191216457,0.0015093020631329335,2
2102408,Cajapió,MA,2.2377222496592615,0.00029331740594259765,0.0014886077918884189,2
3548500,Santos,SP,2.237646047212542,0.00029057880784535777,0.0014079577904594354,2
1500909,Augusto Corrêa,PA,2.238378137212038,0.0002728768470791412,0.001384541605366496,2
2100907,Araioses,MA,2.2386024368278616,0.00026588496365814203,0.0013489626515147957,2
4205407,Florianópolis,SC,2.2386671919014565,0.00025948140365794766,0.0013386919412498033,2
3303302,Niterói,RJ,2.2396779717417816,0.00022842658145065607,0.0011784257303481538,1
4216602,São José,SC,2.239740575764257,0.00022694515666831568,0.0011685026475695692,1
3205309,Vitória,ES,2.2397596933813846,0.00022736652110000145,0.001165472474750906,1
1508035,Tracuateua,PA,2.239909830165436,0.00022498333969583174,0.0011416767734004352,1
2102606,Cândido Mendes,MA,2.239987872158377,0.00022256144281120578,0.0011293084802175835,1
2111003,São João Batista,MA,2.2401184355046335,0.0002184857294910364,0.0011086177754982551,1
4208302,Itapema,SC,2.240262682266987,0.0002112621005473211,0.0010857605256576197,1
2509057,Marcação,PB,2.2403431448922975,0.00021144234716560754,0.0010730113362693583,1
4208203,Itajaí,SC,2.2404823214131286,0.0002051904741447846,0.0010509604784887938,1
2112506,Tutóia,MA,2.2407365330382025,0.00019910542755145576,0.001010688476021926,1
3541000,Praia Grande,SP,2.2415270399717038,0.00017188519311328603,0.0008854965829083183,1
2101301,Bacuri,MA,2.2418083919783047,0.00016568343695591814,0.0008409535630568565,1
4211306,Navegantes,SC,2.2419494862914378,0.00015965026470101317,0.0008186186832082609,1
4212502,Penha,SC,2.2421966891891434,0.0001519263617461828,0.0007794916764464199,1
4321501,Torres,RS,2.2423601531595363,0.0001463482936707307,0.000753621992344855,1
2101905,Bequimão,MA,2.2423655843973953,0.00014824978200545714,0.0007527624927000098,1
3304557,Rio de Janeiro,RJ,2.242419303306253,0.00014477326061620297,0.0007442615657335394,1
2101103,Axixá,MA,2.2424331613162147,0.0001461226263586348,0.0007420686038279167,1
2101350,Bacurituba,MA,2.242611935679716,0.00014057156827393326,0.0007137800898619484,1
4115705,Matinhos,PR,2.2426452827294194,0.00013799988034766172,0.0007085037298238395,1
4212809,Balneário Piçarras,SC,2.2427645009849324,0.000134461057409005,0.0006896412099665628,1
2100832,Apicum-Açu,MA,2.2428226569497816,0.00013404555606586022,0.0006804403612015175,1
3510500,Caraguatatuba,SP,2.243044397789434,0.000125486911421099,0.0006453617400459799,1
3205200,Vila Velha,ES,2.243066662485956,0.0001252996832048009,0.0006418398035297757,1
2933208,Vera Cruz,BA,2.2511257317561704,0.00012402969902759026,0.0006298665834592043,2
2802106,Estância,SE,2.251124757875174,0.00012400182738855708,0.0006297132818759987,2
2111201,São José de Ribamar,MA,2.251124052387969,0.0001239683049428096,0.000629602228922832,2
2922003,Mucuri,BA,2.2511199960896193,0.0001238363097623035,0.0006289637133582437,1
2207702,Parnaíba,PI,2.2511183291113794,0.00012379455031889152,0.0006287013082519333,2
2704708,Marechal Deodoro,AL,2.25111816219101,0.00012379742655352396,0.0006286750326950363,2
2921005,Mata de São João,BA,2.2511172223072027,0.00012376829938383604,0.0006285270820353128,2
2914901,Itacaré,BA,2.251117131128716,0.0001237547792818889,0.0006285127292808279,2
2903409,Belmonte,BA,2.2511152329364306,0.0001236838306225333,0.0006282139273906528,2
2932903,Valença,BA,2.2511043888497797,0.0001233462940594578,0.0006265069105958476,2
2927705,Santa Cruz Cabrália,BA,2.2511031592315267,0.00012329720345173362,0.0006263133501087093,2
3201605,Conceição da Barra,ES,2.251102000205247,0.0001232612418943763,0.0006261309017321914,2
2107506,Paço do Lumiar,MA,2.2510979255588146,0.0001231362743424767,0.0006254894893508722,2
