rule,n_selected,threshold_value,members
top-5,5,0.440631,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty
top-10,10,0.429505,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres
top-15,15,0.408137,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal;Iguape
top-20,20,0.395732,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal;Iguape;Bertioga;Arraial do Cabo;Mostardas;Angra dos Reis;Balneário Arroio do Silva
top-30,30,0.371047,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal;Iguape;Bertioga;Arraial do Cabo;Mostardas;Angra dos Reis;Balneário Arroio do Silva;Guimarães;Alcântara;Balneário Pinhal;São Francisco de Itabapoana;Duque de Caxias;Laguna;Cabo Frio;Raposa;Ubatuba;Maracanã
top-50,50,0.342145,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal;Iguape;Bertioga;Arraial do Cabo;Mostardas;Angra dos Reis;Balneário Arroio do Silva;Guimarães;Alcântara;Balneário Pinhal;São Francisco de Itabapoana;Duque de Caxias;Laguna;Cabo Frio;Raposa;Ubatuba;Maracanã;Imbituba;Icatu;Marapanim;Itapemirim;Ilhabela;Tavares;Cidreira;Cajapió;Paranaguá;Marataízes;Cedral;São Vicente;Balneário Rincão;Cananéia;Jaguaruna;Armação dos Búzios;Anchieta;São Gonçalo;Salinópolis;Xangri-lá
p90 of all 280,28,0.37266659999999996,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal;Iguape;Bertioga;Arraial do Cabo;Mostardas;Angra dos Reis;Balneário Arroio do Silva;Guimarães;Alcântara;Balneário Pinhal;São Francisco de Itabapoana;Duque de Caxias;Laguna;Cabo Frio;Raposa
p95 of all 280,14,0.4084781500000001,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal
p99 of all 280,3,0.44926844999999954,São José do Norte;Guaraqueçaba;Magé
p90 of the 196 positive,20,0.394669,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres;Maricá;Rio Grande;Palmares do Sul;Arroio do Sal;Iguape;Bertioga;Arraial do Cabo;Mostardas;Angra dos Reis;Balneário Arroio do Silva
p95 of the 196 positive,10,0.427504,São José do Norte;Guaraqueçaba;Magé;Mangaratiba;Paraty;Guarujá;Balneário Gaivota;São Sebastião;Saquarema;Passo de Torres
p99 of the 196 positive,2,0.4698979000000005,São José do Norte;Guaraqueçaba
