grid_lat,grid_lon,i_lat,i_lon,region,method,season,compound_event_count
-35.0,-54.79998779296875,0,1,S,Global q90,DJF,65
-35.0,-54.79998779296875,0,1,S,Global q90,MAM,105
-35.0,-54.79998779296875,0,1,S,Global q90,JJA,103
-35.0,-54.79998779296875,0,1,S,Global q90,SON,49
-35.0,-54.79998779296875,0,1,S,Seasonal q90,DJF,98
-35.0,-54.79998779296875,0,1,S,Seasonal q90,MAM,83
-35.0,-54.79998779296875,0,1,S,Seasonal q90,JJA,87
-35.0,-54.79998779296875,0,1,S,Seasonal q90,SON,79
-35.0,-54.600006103515625,0,2,S,Global q90,DJF,57
-35.0,-54.600006103515625,0,2,S,Global q90,MAM,104
-35.0,-54.600006103515625,0,2,S,Global q90,JJA,94
-35.0,-54.600006103515625,0,2,S,Global q90,SON,39
-35.0,-54.600006103515625,0,2,S,Seasonal q90,DJF,96
-35.0,-54.600006103515625,0,2,S,Seasonal q90,MAM,81
-35.0,-54.600006103515625,0,2,S,Seasonal q90,JJA,86
-35.0,-54.600006103515625,0,2,S,Seasonal q90,SON,68
-35.0,-54.399993896484375,0,3,S,Global q90,DJF,56
-35.0,-54.399993896484375,0,3,S,Global q90,MAM,102
-35.0,-54.399993896484375,0,3,S,Global q90,JJA,97
-35.0,-54.399993896484375,0,3,S,Global q90,SON,36
-35.0,-54.399993896484375,0,3,S,Seasonal q90,DJF,90
-35.0,-54.399993896484375,0,3,S,Seasonal q90,MAM,80
-35.0,-54.399993896484375,0,3,S,Seasonal q90,JJA,83
-35.0,-54.399993896484375,0,3,S,Seasonal q90,SON,63
-35.0,-54.20001220703125,0,4,S,Global q90,DJF,52
-35.0,-54.20001220703125,0,4,S,Global q90,MAM,96
-35.0,-54.20001220703125,0,4,S,Global q90,JJA,92
-35.0,-54.20001220703125,0,4,S,Global q90,SON,36
-35.0,-54.20001220703125,0,4,S,Seasonal q90,DJF,85
-35.0,-54.20001220703125,0,4,S,Seasonal q90,MAM,78
-35.0,-54.20001220703125,0,4,S,Seasonal q90,JJA,80
-35.0,-54.20001220703125,0,4,S,Seasonal q90,SON,56
-35.0,-54.0,0,5,S,Global q90,DJF,46
-35.0,-54.0,0,5,S,Global q90,MAM,92
-35.0,-54.0,0,5,S,Global q90,JJA,84
-35.0,-54.0,0,5,S,Global q90,SON,30
-35.0,-54.0,0,5,S,Seasonal q90,DJF,76
-35.0,-54.0,0,5,S,Seasonal q90,MAM,75
-35.0,-54.0,0,5,S,Seasonal q90,JJA,73
-35.0,-54.0,0,5,S,Seasonal q90,SON,53
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,DJF,56
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,MAM,102
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,JJA,99
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,SON,45
-34.79999923706055,-54.399993896484375,1,3,S,Seasonal q90,DJF,95
-34.79999923706055,-54.399993896484375,1,3,S,Seasonal q90,MAM,79
-34.79999923706055,-54.399993896484375,1,3,S,Seasonal q90,JJA,83
-34.79999923706055,-54.399993896484375,1,3,S,Seasonal q90,SON,70
-34.79999923706055,-54.20001220703125,1,4,S,Global q90,DJF,54
-34.79999923706055,-54.20001220703125,1,4,S,Global q90,MAM,99
-34.79999923706055,-54.20001220703125,1,4,S,Global q90,JJA,96
-34.79999923706055,-54.20001220703125,1,4,S,Global q90,SON,39
-34.79999923706055,-54.20001220703125,1,4,S,Seasonal q90,DJF,89
-34.79999923706055,-54.20001220703125,1,4,S,Seasonal q90,MAM,79
-34.79999923706055,-54.20001220703125,1,4,S,Seasonal q90,JJA,83
-34.79999923706055,-54.20001220703125,1,4,S,Seasonal q90,SON,66
-34.79999923706055,-54.0,1,5,S,Global q90,DJF,49
-34.79999923706055,-54.0,1,5,S,Global q90,MAM,92
-34.79999923706055,-54.0,1,5,S,Global q90,JJA,92
-34.79999923706055,-54.0,1,5,S,Global q90,SON,37
-34.79999923706055,-54.0,1,5,S,Seasonal q90,DJF,81
-34.79999923706055,-54.0,1,5,S,Seasonal q90,MAM,76
-34.79999923706055,-54.0,1,5,S,Seasonal q90,JJA,81
-34.79999923706055,-54.0,1,5,S,Seasonal q90,SON,60
-34.79999923706055,-53.79998779296875,1,6,S,Global q90,DJF,41
-34.79999923706055,-53.79998779296875,1,6,S,Global q90,MAM,84
-34.79999923706055,-53.79998779296875,1,6,S,Global q90,JJA,89
-34.79999923706055,-53.79998779296875,1,6,S,Global q90,SON,33
-34.79999923706055,-53.79998779296875,1,6,S,Seasonal q90,DJF,73
-34.79999923706055,-53.79998779296875,1,6,S,Seasonal q90,MAM,74
-34.79999923706055,-53.79998779296875,1,6,S,Seasonal q90,JJA,75
-34.79999923706055,-53.79998779296875,1,6,S,Seasonal q90,SON,52
-34.79999923706055,-53.600006103515625,1,7,S,Global q90,DJF,39
-34.79999923706055,-53.600006103515625,1,7,S,Global q90,MAM,85
-34.79999923706055,-53.600006103515625,1,7,S,Global q90,JJA,81
-34.79999923706055,-53.600006103515625,1,7,S,Global q90,SON,30
-34.79999923706055,-53.600006103515625,1,7,S,Seasonal q90,DJF,62
-34.79999923706055,-53.600006103515625,1,7,S,Seasonal q90,MAM,71
-34.79999923706055,-53.600006103515625,1,7,S,Seasonal q90,JJA,68
-34.79999923706055,-53.600006103515625,1,7,S,Seasonal q90,SON,48
-34.599998474121094,-54.0,2,5,S,Global q90,DJF,47
-34.599998474121094,-54.0,2,5,S,Global q90,MAM,89
-34.599998474121094,-54.0,2,5,S,Global q90,JJA,95
-34.599998474121094,-54.0,2,5,S,Global q90,SON,39
-34.599998474121094,-54.0,2,5,S,Seasonal q90,DJF,82
-34.599998474121094,-54.0,2,5,S,Seasonal q90,MAM,71
-34.599998474121094,-54.0,2,5,S,Seasonal q90,JJA,81
-34.599998474121094,-54.0,2,5,S,Seasonal q90,SON,66
-34.599998474121094,-53.79998779296875,2,6,S,Global q90,DJF,42
-34.599998474121094,-53.79998779296875,2,6,S,Global q90,MAM,87
-34.599998474121094,-53.79998779296875,2,6,S,Global q90,JJA,94
-34.599998474121094,-53.79998779296875,2,6,S,Global q90,SON,36
-34.599998474121094,-53.79998779296875,2,6,S,Seasonal q90,DJF,78
-34.599998474121094,-53.79998779296875,2,6,S,Seasonal q90,MAM,71
-34.599998474121094,-53.79998779296875,2,6,S,Seasonal q90,JJA,78
-34.599998474121094,-53.79998779296875,2,6,S,Seasonal q90,SON,63
-34.599998474121094,-53.600006103515625,2,7,S,Global q90,DJF,41
-34.599998474121094,-53.600006103515625,2,7,S,Global q90,MAM,88
-34.599998474121094,-53.600006103515625,2,7,S,Global q90,JJA,92
-34.599998474121094,-53.600006103515625,2,7,S,Global q90,SON,37
-34.599998474121094,-53.600006103515625,2,7,S,Seasonal q90,DJF,75
