region,method,season,compound_event_count,mean_compound_intensity_norm_event_weighted,p95_compound_intensity_norm_event_weighted,mean_peak_hs_event_weighted,mean_peak_ssh_total_event_weighted,n_analysis_points,points_with_events,mean_compound_intensity_norm_point_weighted,mean_peak_hs_point_weighted,mean_peak_ssh_total_point_weighted
S,Global q90,DJF,3844,0.33947544058812057,0.5120367256926794,2.8068678460929943,0.8018162020799025,142,142,0.3400651682577349,2.8468194017880717,0.7663814927828653
S,Global q90,MAM,9340,0.3808171105651081,0.5541831866169366,3.085370451850095,0.8038900770231029,142,142,0.3708527825536828,3.0251809417830877,0.8052548112633282
S,Global q90,JJA,11638,0.3793575912207039,0.5508141593882764,3.0926714228137415,0.792424866773763,142,142,0.3695915618956539,3.018891335713525,0.8056308443976613
S,Global q90,SON,6452,0.3486002353728985,0.5240600334443045,2.939229697303157,0.747430990136564,142,142,0.34932271779415724,2.9405080057562407,0.7520532974090838
S,Seasonal q90,DJF,7800,0.29585307668494704,0.49834136495297005,2.645747436086337,0.7127939164944184,142,142,0.29326966765768825,2.6334227352872284,0.7086834531620739
S,Seasonal q90,MAM,7703,0.3913603116412258,0.5621948400067913,3.125775673784684,0.8223083659524842,142,142,0.38091108671169827,3.0614116452858053,0.8245637870947284
S,Seasonal q90,JJA,9146,0.390721219740771,0.5588103479368953,3.1207894170776957,0.8337380234148005,142,142,0.3837302165300695,3.0763090303603415,0.8357290176043756
S,Seasonal q90,SON,7384,0.3522143150994283,0.5194568889389878,2.9911416592409394,0.709343714314641,142,142,0.34826092198013553,2.9606024608815082,0.7152871309089536
SE,Global q90,DJF,1543,0.3396987834541857,0.5384132267410197,2.7132987704898195,0.890439770048652,179,174,0.3462411249937611,2.7197100467415143,0.9173055049880119
SE,Global q90,MAM,9180,0.3607443962324746,0.5362309186490952,2.818208059882806,0.9052541500667601,179,179,0.3692036501347086,2.8274580818712303,0.938753995581614
SE,Global q90,JJA,10596,0.36672308772728685,0.544967666376711,2.894002454140898,0.877928269707108,179,179,0.3802696794458084,2.9365885435458523,0.9117487230043971
SE,Global q90,SON,6778,0.35144678346854785,0.5351720774059138,2.744501326570612,0.9151220013255319,179,179,0.36614706504520544,2.8248767121214016,0.9169355570602893
SE,Seasonal q90,DJF,4616,0.27087434942136185,0.45571869028073797,2.3880112640417637,0.8306150505354747,179,179,0.2719886833347146,2.35516471879108,0.8669262810897934
SE,Seasonal q90,MAM,7205,0.36493174955873603,0.5401567778527671,2.818846632390284,0.9279397466875959,179,179,0.37412896145783986,2.829095004164319,0.9630185513614754
SE,Seasonal q90,JJA,8663,0.38838613051900495,0.5504704061183523,3.0024252573130767,0.8985044244020183,179,179,0.40104571412574846,3.068595439812081,0.9114615258877552
SE,Seasonal q90,SON,6611,0.35516870524417443,0.5360586326157808,2.7967811217107528,0.8865113477540294,179,179,0.3697685044764173,2.8464985602727024,0.9154714833767014
NE,Global q90,DJF,2617,0.41216442460538427,0.5404090549334368,1.9910355358347895,1.8965152486116776,297,233,0.38806922032087465,2.092439240737495,1.6850358380188357
NE,Global q90,MAM,2588,0.38662716449051227,0.5192434824527207,2.214721790951039,1.5674318836129615,297,297,0.405885559901874,2.2414159678609447,1.6390410825752595
NE,Global q90,JJA,6967,0.40915253232825205,0.5416959751534035,2.34494617391868,1.5625815605080349,297,296,0.4106447004801229,2.279909445135916,1.628596694741585
NE,Global q90,SON,8933,0.42856381577735436,0.584938432728196,2.2290898897366818,1.7666671656153043,297,297,0.42665869664249756,2.3482998880963,1.6508089460930524
NE,Seasonal q90,DJF,5030,0.35493320632476333,0.5144927398518989,1.9134433385629066,1.6804988097954934,297,297,0.3392831013278259,1.8986554876562955,1.615804834412794
NE,Seasonal q90,MAM,5396,0.3711350767716646,0.49659838623616903,1.975094513353195,1.7020294264875755,297,297,0.3702819510044708,2.026640041236501,1.652426460827949
NE,Seasonal q90,JJA,6551,0.4100013077727032,0.5308180090558932,2.2412089748958324,1.6583585575361721,297,297,0.4132281147718125,2.3350361700094413,1.590699270948219
NE,Seasonal q90,SON,6188,0.43375224810078655,0.596307313990717,2.3327230094283644,1.7002180548891686,297,297,0.4306672725969142,2.3615361947293314,1.65883984739488
N,Global q90,DJF,5823,0.4846311701538983,0.6829710133973101,1.8336544724345392,2.5491846518358496,190,190,0.48607062559520425,1.7995012355059372,2.5726972312460306
N,Global q90,MAM,4215,0.4859451023391995,0.6757246434713607,1.8003653607652705,2.6530057054397473,190,190,0.48645046745661913,1.7532789119705754,2.651144626319619
N,Global q90,JJA,1438,0.48603396203287136,0.5915097102314963,1.4614047311318932,2.7884703072951136,190,121,0.47777443289190796,1.499924359249013,2.691237133423642
N,Global q90,SON,4079,0.4910836415827437,0.5994839473783952,1.3514219148248456,2.8625902278249713,190,178,0.4729172029326279,1.6569432806351783,2.64889107348465
N,Seasonal q90,DJF,4227,0.497640839251554,0.6938405682862343,1.788632598503109,2.6291029626719067,190,190,0.49596677960262614,1.8691476631793822,2.5532314603545476
N,Seasonal q90,MAM,4045,0.4931328795663752,0.6630434529091774,1.617419034747317,2.791441879166366,190,190,0.48715534235299346,1.7245947787678106,2.678720199385852
N,Seasonal q90,JJA,4700,0.43403941369047755,0.5669779632788151,1.3453659577953054,2.6749558550499857,190,190,0.4171735247001512,1.4254292296058,2.5331699086561392
N,Seasonal q90,SON,3953,0.45689378868237657,0.5996376728653482,1.4836529201980848,2.72370367878876,190,190,0.450932895004847,1.5548191860363905,2.642669144571301
