rank,thr_hs_pct,thr_ssh_pct,H,M,F,POD,FAR,CSI,pct_sum
1,0.9,0.55,42,49,2335,0.46153846153846156,0.9823306689103912,0.01731244847485573,1.4500000000000002
2,0.9,0.5,44,47,2481,0.4835164835164835,0.9825742574257426,0.017107309486780714,1.4
3,0.85,0.55,52,39,3190,0.5714285714285714,0.9839605181986428,0.01584882657726303,1.4
4,0.85,0.5,54,37,3406,0.5934065934065934,0.9843930635838151,0.015441807263368601,1.35
5,0.9,0.6,34,57,2175,0.37362637362637363,0.9846084200995926,0.01500441306266549,1.5
6,0.9,0.65,30,61,1999,0.32967032967032966,0.9852143913257763,0.014354066985645933,1.55
7,0.85,0.6,44,47,2980,0.4835164835164835,0.9854497354497355,0.014327580592640833,1.45
8,0.8,0.55,57,34,3955,0.6263736263736264,0.9857926221335992,0.014087988136431043,1.35
9,0.8,0.6,53,38,3701,0.5824175824175825,0.985881726158764,0.013976793248945147,1.4
10,0.8,0.5,60,31,4231,0.6593406593406593,0.9860172453973433,0.013882461823229986,1.3
11,0.8,0.7,44,47,3095,0.4835164835164835,0.9859827970691303,0.013810420590081607,1.5
12,0.8,0.65,48,43,3408,0.5274725274725275,0.9861111111111112,0.01371820520148614,1.4500000000000002
13,0.85,0.65,39,52,2756,0.42857142857142855,0.986046511627907,0.0136986301369863,1.5
14,0.85,0.7,34,57,2498,0.37362637362637363,0.9865718799368088,0.01313248358439552,1.5499999999999998
15,0.9,0.7,25,66,1828,0.27472527472527475,0.9865083648138154,0.013027618551328817,1.6
16,0.8,0.75,36,55,2756,0.3956043956043956,0.9871060171919771,0.012644889357218124,1.55
17,0.7,0.75,47,44,3641,0.5164835164835165,0.9872559652928417,0.012593783494105037,1.45
18,0.85,0.75,29,62,2226,0.31868131868131866,0.987139689578714,0.012516184721622789,1.6
19,0.75,0.6,55,36,4367,0.6043956043956044,0.9875621890547264,0.012337371018393899,1.35
20,0.75,0.55,58,33,4624,0.6373626373626373,0.9876121315677061,0.012301166489925769,1.3
